environment,environment_label,evaluation_role,metric_scope,profile,profile_label,status,runtime_seconds,journey_time,transfer_wait,transfers,turns,train_travel_time_sum,train_wait_time_sum,selected_trains,chosen_legs,optimization_cost,timeout_seconds
e1_fast_slow,E1 - Fast vs Slow,controlled_preference,passenger_or_selected_service,fastest,Fastest,OPTIMUM FOUND,8.654,10,0,0,2,10,0,0,"chosen_leg(p1,1,0,origin,destination,2,12)","10,0,0,2,36",180
e1_fast_slow,E1 - Fast vs Slow,controlled_preference,passenger_or_selected_service,least_waiting,Less Waiting,OPTIMUM FOUND,8.155,10,0,0,2,10,0,0,"chosen_leg(p1,1,0,origin,destination,2,12)","0,10,0,2,36",180
e1_fast_slow,E1 - Fast vs Slow,controlled_preference,passenger_or_selected_service,fewest_transfers,Fewer Transfers,OPTIMUM FOUND,8.927,10,0,0,2,10,0,0,"chosen_leg(p1,1,0,origin,destination,2,12)","0,10,0,2,36",180
e1_fast_slow,E1 - Fast vs Slow,controlled_preference,passenger_or_selected_service,simple,Simple Journey,OPTIMUM FOUND,9.853,10,0,0,2,10,0,0,"chosen_leg(p1,1,0,origin,destination,2,12)","2,10,0,0,36",180
e1_fast_slow,E1 - Fast vs Slow,controlled_preference,passenger_or_selected_service,balanced,Balanced,OPTIMUM FOUND,8.708,10,0,0,2,10,0,0,"chosen_leg(p1,1,0,origin,destination,2,12)",304,180
e2_transfer_network,E2 - Transfer Network,controlled_preference,passenger_or_selected_service,fastest,Fastest,OPTIMUM FOUND,48.729,14,2,2,6,12,0,"1,2,3","chosen_leg(p1,1,1,origin,station_b,2,6) | chosen_leg(p1,2,2,station_b,station_c,7,11) | chosen_leg(p1,3,3,station_c,destination,12,16)","14,2,2,6,76",180
e2_transfer_network,E2 - Transfer Network,controlled_preference,passenger_or_selected_service,least_waiting,Less Waiting,OPTIMUM FOUND,52.619,18,0,0,4,18,0,0,"chosen_leg(p1,1,0,origin,destination,2,20)","0,18,0,4,76",180
e2_transfer_network,E2 - Transfer Network,controlled_preference,passenger_or_selected_service,fewest_transfers,Fewer Transfers,OPTIMUM FOUND,58.333,18,0,0,4,18,0,0,"chosen_leg(p1,1,0,origin,destination,2,20)","0,18,0,4,76",180
e2_transfer_network,E2 - Transfer Network,controlled_preference,passenger_or_selected_service,simple,Simple Journey,OPTIMUM FOUND,53.63,18,0,0,4,18,0,0,"chosen_leg(p1,1,0,origin,destination,2,20)","4,18,0,0,76",180
e2_transfer_network,E2 - Transfer Network,controlled_preference,passenger_or_selected_service,balanced,Balanced,OPTIMUM FOUND,53.503,18,0,0,4,18,0,0,"chosen_leg(p1,1,0,origin,destination,2,20)",616,180
e3_waiting_network,E3 - Waiting Network,controlled_preference,passenger_or_selected_service,fastest,Fastest,OPTIMUM FOUND,24.835,11,5,1,4,6,0,"0,1","chosen_leg(p1,1,0,origin,station_b,2,5) | chosen_leg(p1,2,1,station_b,destination,10,13)","11,5,1,4,64",180
e3_waiting_network,E3 - Waiting Network,controlled_preference,passenger_or_selected_service,least_waiting,Less Waiting,OPTIMUM FOUND,23.555,13,1,1,4,12,0,"2,3","chosen_leg(p1,1,2,origin,station_c,2,8) | chosen_leg(p1,2,3,station_c,destination,9,15)","1,13,1,4,64",180
e3_waiting_network,E3 - Waiting Network,controlled_preference,passenger_or_selected_service,fewest_transfers,Fewer Transfers,OPTIMUM FOUND,23.478,11,5,1,4,6,0,"0,1","chosen_leg(p1,1,0,origin,station_b,2,5) | chosen_leg(p1,2,1,station_b,destination,10,13)","1,11,5,4,64",180
e3_waiting_network,E3 - Waiting Network,controlled_preference,passenger_or_selected_service,simple,Simple Journey,OPTIMUM FOUND,23.627,11,5,1,4,6,0,"0,1","chosen_leg(p1,1,0,origin,station_b,2,5) | chosen_leg(p1,2,1,station_b,destination,10,13)","4,11,5,1,64",180
e3_waiting_network,E3 - Waiting Network,controlled_preference,passenger_or_selected_service,balanced,Balanced,OPTIMUM FOUND,23.766,13,1,1,4,12,0,"2,3","chosen_leg(p1,1,2,origin,station_c,2,8) | chosen_leg(p1,2,3,station_c,destination,9,15)",520,180
e4_simple_complex,E4 - Simple vs Complex,controlled_preference,passenger_or_selected_service,fastest,Fastest,OPTIMUM FOUND,0.917,32,0,1,8,32,0,"0,1",,"32,0,1,8,33",180
e4_simple_complex,E4 - Simple vs Complex,controlled_preference,passenger_or_selected_service,least_waiting,Less Waiting,OPTIMUM FOUND,146.223,32,0,1,8,32,0,"0,1",,"0,32,1,8,33",360
e4_simple_complex,E4 - Simple vs Complex,controlled_preference,passenger_or_selected_service,fewest_transfers,Fewer Transfers,OPTIMUM FOUND,0.963,32,0,1,8,32,0,"0,1",,"1,32,0,8,33",180
e4_simple_complex,E4 - Simple vs Complex,controlled_preference,passenger_or_selected_service,simple,Simple Journey,OPTIMUM FOUND,1.508,41,11,1,4,41,11,"0,1",,"4,41,11,1,55",180
e4_simple_complex,E4 - Simple vs Complex,controlled_preference,passenger_or_selected_service,balanced,Balanced,OPTIMUM FOUND,1.864,32,0,1,8,32,0,"0,1",,494,180
e5_mixed_preferences,E5 - Mixed Preferences,integrated_preference,passenger_or_selected_service,fastest,Fastest,OPTIMUM FOUND,47.414,14,2,2,6,12,0,"1,2,3","chosen_leg(p1,1,1,origin,station_b,2,6) | chosen_leg(p1,2,2,station_b,station_c,7,11) | chosen_leg(p1,3,3,station_c,destination,12,16)","14,2,2,6,115",180
e5_mixed_preferences,E5 - Mixed Preferences,integrated_preference,passenger_or_selected_service,least_waiting,Less Waiting,OPTIMUM FOUND,50.509,18,0,0,4,18,0,0,"chosen_leg(p1,1,0,origin,destination,2,20)","0,18,0,4,115",180
e5_mixed_preferences,E5 - Mixed Preferences,integrated_preference,passenger_or_selected_service,fewest_transfers,Fewer Transfers,OPTIMUM FOUND,61.969,18,0,0,4,18,0,0,"chosen_leg(p1,1,0,origin,destination,2,20)","0,18,0,4,115",180
