environment,environment_label,profile,profile_label,status,journey_time,transfer_wait,transfers,turns,runtime_seconds,selected_trains,chosen_legs,evaluation_role,metric_scope,train_travel_time_sum,train_wait_time_sum,optimization_cost,timeout_seconds
e1_fast_slow,E1 - Fast vs Slow,fastest,Fastest,OPTIMUM FOUND,18,0,0,6,9.868,[0],"[{""leg"": 1, ""train"": 0, ""from"": ""origin"", ""to"": ""destination"", ""board"": 2, ""alight"": 20}]",,,,,,
e1_fast_slow,E1 - Fast vs Slow,least_waiting,Less Waiting,OPTIMUM FOUND,18,0,0,6,9.841,[0],"[{""leg"": 1, ""train"": 0, ""from"": ""origin"", ""to"": ""destination"", ""board"": 2, ""alight"": 20}]",,,,,,
e1_fast_slow,E1 - Fast vs Slow,fewest_transfers,Fewer Transfers,OPTIMUM FOUND,18,0,0,6,9.885,[0],"[{""leg"": 1, ""train"": 0, ""from"": ""origin"", ""to"": ""destination"", ""board"": 2, ""alight"": 20}]",,,,,,
e1_fast_slow,E1 - Fast vs Slow,simple,Simple Journey,OPTIMUM FOUND,18,0,0,6,12.659,[0],"[{""leg"": 1, ""train"": 0, ""from"": ""origin"", ""to"": ""destination"", ""board"": 2, ""alight"": 20}]",,,,,,
e1_fast_slow,E1 - Fast vs Slow,balanced,Balanced,OPTIMUM FOUND,18,0,0,6,9.832,[0],"[{""leg"": 1, ""train"": 0, ""from"": ""origin"", ""to"": ""destination"", ""board"": 2, ""alight"": 20}]",,,,,,
e2_transfer_network,E2 - Transfer Network,fastest,Fastest,OPTIMUM FOUND,23,2,2,9,34.061,"[1, 2, 3]","[{""leg"": 1, ""train"": 1, ""from"": ""origin"", ""to"": ""station_b"", ""board"": 2, ""alight"": 9}, {""leg"": 2, ""train"": 2, ""from"": ""station_b"", ""to"": ""station_c"", ""board"": 10, ""alight"": 17}, {""leg"": 3, ""train"": 3, ""from"": ""station_c"", ""to"": ""destination"", ""board"": 18, ""alight"": 25}]",,,,,,
e2_transfer_network,E2 - Transfer Network,least_waiting,Less Waiting,OPTIMUM FOUND,24,0,0,6,33.954,[0],"[{""leg"": 1, ""train"": 0, ""from"": ""origin"", ""to"": ""destination"", ""board"": 2, ""alight"": 26}]",,,,,,
e2_transfer_network,E2 - Transfer Network,fewest_transfers,Fewer Transfers,OPTIMUM FOUND,24,0,0,6,33.95,[0],"[{""leg"": 1, ""train"": 0, ""from"": ""origin"", ""to"": ""destination"", ""board"": 2, ""alight"": 26}]",,,,,,
e2_transfer_network,E2 - Transfer Network,simple,Simple Journey,OPTIMUM FOUND,24,0,0,6,33.962,[0],"[{""leg"": 1, ""train"": 0, ""from"": ""origin"", ""to"": ""destination"", ""board"": 2, ""alight"": 26}]",,,,,,
e2_transfer_network,E2 - Transfer Network,balanced,Balanced,OPTIMUM FOUND,24,0,0,6,34.1,[0],"[{""leg"": 1, ""train"": 0, ""from"": ""origin"", ""to"": ""destination"", ""board"": 2, ""alight"": 26}]",,,,,,
e3_waiting_network,E3 - Waiting Network,fastest,Fastest,OPTIMUM FOUND,20,4,1,8,59.857,"[0, 1]","[{""leg"": 1, ""train"": 0, ""from"": ""origin"", ""to"": ""station_b"", ""board"": 2, ""alight"": 10}, {""leg"": 2, ""train"": 1, ""from"": ""station_b"", ""to"": ""destination"", ""board"": 14, ""alight"": 22}]",,,,,,
e3_waiting_network,E3 - Waiting Network,least_waiting,Less Waiting,OPTIMUM FOUND,21,1,1,8,56.093,"[2, 3]","[{""leg"": 1, ""train"": 2, ""from"": ""origin"", ""to"": ""station_c"", ""board"": 2, ""alight"": 12}, {""leg"": 2, ""train"": 3, ""from"": ""station_c"", ""to"": ""destination"", ""board"": 13, ""alight"": 23}]",,,,,,
e3_waiting_network,E3 - Waiting Network,fewest_transfers,Fewer Transfers,OPTIMUM FOUND,20,4,1,8,56.422,"[0, 1]","[{""leg"": 1, ""train"": 0, ""from"": ""origin"", ""to"": ""station_b"", ""board"": 2, ""alight"": 10}, {""leg"": 2, ""train"": 1, ""from"": ""station_b"", ""to"": ""destination"", ""board"": 14, ""alight"": 22}]",,,,,,
e3_waiting_network,E3 - Waiting Network,simple,Simple Journey,OPTIMUM FOUND,20,4,1,8,56.82,"[0, 1]","[{""leg"": 1, ""train"": 0, ""from"": ""origin"", ""to"": ""station_b"", ""board"": 2, ""alight"": 10}, {""leg"": 2, ""train"": 1, ""from"": ""station_b"", ""to"": ""destination"", ""board"": 14, ""alight"": 22}]",,,,,,
e3_waiting_network,E3 - Waiting Network,balanced,Balanced,OPTIMUM FOUND,21,1,1,8,57.072,"[2, 3]","[{""leg"": 1, ""train"": 2, ""from"": ""origin"", ""to"": ""station_c"", ""board"": 2, ""alight"": 12}, {""leg"": 2, ""train"": 3, ""from"": ""station_c"", ""to"": ""destination"", ""board"": 13, ""alight"": 23}]",,,,,,
e4_simple_complex,E4 - Simple vs Complex,fastest,Fastest,OPTIMUM FOUND,32,0,1,8,0.917,"0,1",,controlled_preference,passenger_or_selected_service,32,0,"32,0,1,8,33",180
e4_simple_complex,E4 - Simple vs Complex,least_waiting,Less Waiting,OPTIMUM FOUND,32,0,1,8,146.223,"0,1",,controlled_preference,passenger_or_selected_service,32,0,"0,32,1,8,33",360
e4_simple_complex,E4 - Simple vs Complex,fewest_transfers,Fewer Transfers,OPTIMUM FOUND,32,0,1,8,0.963,"0,1",,controlled_preference,passenger_or_selected_service,32,0,"1,32,0,8,33",180
e4_simple_complex,E4 - Simple vs Complex,simple,Simple Journey,OPTIMUM FOUND,41,11,1,4,1.508,"0,1",,controlled_preference,passenger_or_selected_service,41,11,"4,41,11,1,55",180
e4_simple_complex,E4 - Simple vs Complex,balanced,Balanced,OPTIMUM FOUND,32,0,1,8,1.864,"0,1",,controlled_preference,passenger_or_selected_service,32,0,494,180
e5_mixed_preferences,E5 - Mixed Preferences,fastest,Fastest,OPTIMUM FOUND,14,2,2,6,47.414,"1,2,3","chosen_leg(p1,1,1,origin,station_b,2,6) | chosen_leg(p1,2,2,station_b,station_c,7,11) | chosen_leg(p1,3,3,station_c,destination,12,16)",integrated_preference,passenger_or_selected_service,12,0,"14,2,2,6,115",180
e5_mixed_preferences,E5 - Mixed Preferences,least_waiting,Less Waiting,OPTIMUM FOUND,18,0,0,4,50.509,0,"chosen_leg(p1,1,0,origin,destination,2,20)",integrated_preference,passenger_or_selected_service,18,0,"0,18,0,4,115",180
e5_mixed_preferences,E5 - Mixed Preferences,fewest_transfers,Fewer Transfers,OPTIMUM FOUND,18,0,0,4,61.969,0,"chosen_leg(p1,1,0,origin,destination,2,20)",integrated_preference,passenger_or_selected_service,18,0,"0,18,0,4,115",180
e5_mixed_preferences,E5 - Mixed Preferences,simple,Simple Journey,OPTIMUM FOUND,16,1,1,4,62.468,"4,5","chosen_leg(p1,1,4,origin,station_h,2,9) | chosen_leg(p1,2,5,station_h,destination,10,18)",integrated_preference,passenger_or_selected_service,15,0,"4,16,1,1,115",180
e5_mixed_preferences,E5 - Mixed Preferences,balanced,Balanced,OPTIMUM FOUND,18,0,0,4,60.877,0,"chosen_leg(p1,1,0,origin,destination,2,20)",integrated_preference,passenger_or_selected_service,18,0,850,180
e6_shared_conflict,E6 - Infrastructure Robustness,fastest,Fastest,OPTIMUM FOUND,,,,12,5.016,"0,1",,infrastructure_robustness,system_all_trains,58,0,"58,0,12,0",300
e6_shared_conflict,E6 - Infrastructure Robustness,least_waiting,Less Waiting,TIMEOUT,,,,,1200.031,,,infrastructure_robustness,system_all_trains,,,,1200
e6_shared_conflict,E6 - Infrastructure Robustness,fewest_transfers,Fewer Transfers,OPTIMUM FOUND,,,,12,4.695,"0,1",,infrastructure_robustness,system_all_trains,58,0,"58,0,12,0",300
e6_shared_conflict,E6 - Infrastructure Robustness,simple,Simple Journey,OPTIMUM FOUND,,,,12,350.709,"0,1",,infrastructure_robustness,system_all_trains,58,0,"12,58,0,0",1200
e6_shared_conflict,E6 - Infrastructure Robustness,balanced,Balanced,OPTIMUM FOUND,,,,12,8.525,"0,1",,infrastructure_robustness,system_all_trains,58,0,512,300
